MIP_Gap,Load_Time,Creation_time,Execution_Time,Latency,Cost,Unavailability
0.0,5.117,38.1183767,11.004661,"[4.09, 11.77, 15.73, 11.77]","[13.350000000000001, 13.311200000000005, 17.83520000000001, 55.235199999999914]","[0.03333333333333333, 0.05, 0.016666666666666666, 0.016666666666666666]"
0.05,0.020329,22.3013499,6.5714273,"[4.09, 11.77, 15.73, 11.77]","[13.350000000000001, 13.311200000000005, 17.83520000000001, 55.235199999999914]","[0.03333333333333333, 0.05, 0.016666666666666666, 0.016666666666666666]"
0.1,0.0100139,27.3338098,7.9485943,"[4.09, 11.77, 15.73, 11.77]","[13.350000000000001, 13.311200000000005, 17.83520000000001, 55.235199999999914]","[0.03333333333333333, 0.05, 0.016666666666666666, 0.016666666666666666]"
0.25,0.014664,31.0083675,11.2642595,"[4.09, 11.77, 15.73, 11.77]","[13.350000000000001, 13.311200000000005, 17.83520000000001, 55.235199999999914]","[0.03333333333333333, 0.05, 0.016666666666666666, 0.016666666666666666]"
