MIP_Gap,Load_Time,Creation_time,Execution_Time,Latency,Unavailability
0.0,6.0675041,22.5852085,6.1078157,"[2.4449999999999967, 52.239999999999995, 56.419999999999995, 56.425, 82.41499999999999, 117.155, 192.935]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025]"
0.05,0.0071422,6.8193111,4.459344,"[2.4449999999999967, 52.239999999999995, 56.419999999999995, 56.425, 82.41499999999999, 117.155, 192.935]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025]"
0.1,0.0077237,7.1734366,4.3431729,"[2.4449999999999967, 52.239999999999995, 56.419999999999995, 56.425, 82.41499999999999, 117.155, 192.935]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025]"
0.25,0.0121603,6.9236209,3.9715672,"[2.4449999999999967, 52.239999999999995, 56.419999999999995, 56.425, 82.41499999999999, 117.155, 192.935]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025]"
0.5,0.0093932,7.5094328,4.4563632,"[2.4449999999999967, 52.239999999999995, 56.419999999999995, 56.425, 82.41499999999999, 117.155, 192.935]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025]"
0.75,0.0111527,7.1609351,5.1666111,"[2.4449999999999967, 52.239999999999995, 56.419999999999995, 56.425, 82.41499999999999, 117.155, 192.935]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025]"
