MIP_Gap,Load_Time,Creation_time,Execution_Time,Latency,Cost,Unavailability
0.0,0.013205417,0.404484541,1.303483834,"[4.09, 11.77, 15.73, 11.77]","[13.350000000000012, 13.311200000000007, 17.83520000000001, 55.235199999999914]","[0.03333333333333333, 0.05, 0.016666666666666666, 0.016666666666666666]"
0.05,0.003689667,0.52361125,1.229855166,"[4.09, 11.77, 15.73, 11.77]","[13.350000000000012, 13.311200000000007, 17.83520000000001, 55.235199999999914]","[0.03333333333333333, 0.05, 0.016666666666666666, 0.016666666666666666]"
0.1,0.003431417,0.391954791,1.213821875,"[4.09, 11.77, 15.73, 11.77]","[13.350000000000012, 13.311200000000007, 17.83520000000001, 55.235199999999914]","[0.03333333333333333, 0.05, 0.016666666666666666, 0.016666666666666666]"
0.25,0.003701,0.528857667,1.282108291,"[4.09, 11.77, 15.73, 11.77]","[13.350000000000012, 13.311200000000007, 17.83520000000001, 55.235199999999914]","[0.03333333333333333, 0.05, 0.016666666666666666, 0.016666666666666666]"
0.5,0.003365583,0.376972167,1.124202792,"[15.729999999999999, 11.77]","[17.83520000000001, 55.235199999999914]","[0.016666666666666666, 0.016666666666666666]"
0.75,0.003716084,0.520056292,1.159727209,"[15.729999999999999, 11.77]","[17.83520000000001, 55.235199999999914]","[0.016666666666666666, 0.016666666666666666]"
