MIP_Gap,Load_Time,Creation_time,Execution_Time,Latency,Cost
0.0,0.015991208,21.228234375,1010.48814875,"[10.120200000000002, 10.120200000000002, 10.120200000000002, 10.120200000000002, 10.120200000000002, 10.120200000000002, 10.120200000000002, 10.120200000000002, 10.120200000000002, 10.120200000000002]","[567.2758999416913, 567.2759000000007, 567.8478000000006, 568.1880000000012, 569.8345000000008, 570.0662000000009, 570.1415000000009, 570.3732000000008, 572.4774000000009, 573.1578000000007]"
0.05,0.0162825,20.908801542,1010.569384125,"[10.120200000000002, 10.120200000000002, 10.120200000000002, 10.120200000000002, 10.120200000000002, 10.120200000000002, 10.120200000000002, 10.120200000000002, 10.120200000000002, 10.120200000000002]","[557.6663999999998, 557.7903994653446, 557.7903996184104, 557.7903998860788, 557.7904000000002, 558.1761999999997, 558.8712999999993, 560.0797999999994, 561.6877999999995, 562.7470998184627]"
0.1,0.025627917,22.0890025,184.154278125,"[10.120200000000002, 10.120200000000002, 9.659400000000003, 9.659400000000003, 9.659400000000003, 9.659400000000003, 9.659400000000003, 9.659400000000003, 9.659400000000003, 9.659400000000003]","[577.9676000000003, 578.3534000000003, 580.8293000000003, 581.5808000000002, 582.7655999999998, 583.8853000000005, 584.8403000000004, 586.8485999999991, 586.9988999999991, 590.288999999999]"
0.25,0.022124,21.995560333,162.198527416,"[9.659400000000003, 20.124399999999977]","[619.1728000000002, 878.7738000000008]"
