MIP_Gap,Load_Time,Creation_time,Execution_Time,Cost,Unavailability
0.0,7.7531352,93.5289552,977.4224209,"[5.213000000000004, 5.2130000000000045, 5.231600000000002, 5.231600000000003, 340.88, 508.3982]","[0.05833333333333334, 0.05833333333333334, 0.0625, 0.0625, 0.0, 0.0]"
0.05,0.092409,76.8699565,23.0106238,"[5.231600000000002, 340.88, 508.3982]","[0.0625, 0.0, 0.0]"
0.1,0.0163106,73.830333,23.4195982,"[5.231600000000002, 340.88, 508.3982]","[0.0625, 0.0, 0.0]"
0.25,0.0184798,74.1638318,22.9091873,"[5.231600000000002, 340.88, 508.3982]","[0.0625, 0.0, 0.0]"
0.5,0.0229482,75.5642334,23.2334259,"[5.231600000000002, 340.88, 508.3982]","[0.0625, 0.0, 0.0]"
0.75,0.0193505,74.5833222,23.2869163,"[5.231600000000002, 340.88, 508.3982]","[0.0625, 0.0, 0.0]"
