MIP_Gap,Load_Time,Creation_time,Execution_Time,Cost,Unavailability
0.0,2.323419167,4.032123416,3.435098583,"[0.5227, 0.5226999999999999, 0.5516, 0.5516000000000002, 0.6297000000000001, 0.6586000000000002, 85.65999999999995]","[0.075, 0.075, 0.05, 0.05, 0.075, 0.05, 0.025]"
0.05,0.0040405,0.168055583,2.4920175,"[0.5226999999999999, 0.5227, 0.5227, 0.5516, 0.5516000000000002, 0.6297000000000001, 0.6586000000000002, 85.65999999999995]","[0.075, 0.075, 0.075, 0.05, 0.05, 0.075, 0.05, 0.025]"
0.1,0.003380083,0.282257792,2.343287792,"[0.5226999999999999, 0.5226999999999999, 0.5516, 0.6297000000000001, 0.6586000000000002, 85.65999999999995]","[0.075, 0.075, 0.05, 0.075, 0.05, 0.025]"
0.25,0.003324625,0.262128542,1.747922542,"[0.5516, 0.6297000000000001, 0.6586000000000002, 85.65999999999995]","[0.05, 0.075, 0.05, 0.025]"
