MIP_Gap,Load_Time,Creation_time,Execution_Time,Latency,Unavailability
0.0,4.5781768,103.849665,40.4563076,"[3.396666666666666, 5.489999999999998, 11.695833333333333, 12.39333333333331, 32.194999999999965]","[0.0, 0.0, 0.0, 0.0, 0.0]"
0.05,0.1032606,110.2536514,38.86089,"[3.396666666666666, 5.489999999999998, 11.695833333333333, 12.39333333333331, 32.194999999999965]","[0.0, 0.0, 0.0, 0.0, 0.0]"
0.1,0.0540767,96.2931518,34.9712606,"[3.396666666666666, 5.489999999999998, 11.695833333333333, 12.39333333333331, 32.194999999999965]","[0.0, 0.0, 0.0, 0.0, 0.0]"
0.25,0.1226279,84.3186752,28.8805353,"[3.396666666666666, 5.489999999999998, 11.695833333333333, 12.39333333333331, 32.194999999999965]","[0.0, 0.0, 0.0, 0.0, 0.0]"
0.5,0.0327581,83.2509497,28.5247175,"[5.489999999999998, 11.695833333333333, 12.39333333333331, 32.194999999999965]","[0.0, 0.0, 0.0, 0.0]"
0.75,0.0249421,83.6602615,27.2061436,"[12.39333333333331, 32.194999999999965]","[0.0, 0.0]"
