MIP_Gap,Load_Time,Creation_time,Execution_Time,Cost,Unavailability
0.0,0.025261667,0.679207166,1.103603166,"[5.1754999999999995, 12.78949999999999, 150.4894999999998]","[0.09999999999999998, 0.049999999999999996, 0.049999999999999996]"
0.05,0.003323834,0.544661834,1.142637375,"[5.1754999999999995, 12.78949999999999, 150.4894999999998]","[0.09999999999999998, 0.049999999999999996, 0.049999999999999996]"
0.1,0.003555209,0.549707583,1.23840075,"[5.1754999999999995, 12.78949999999999, 150.4894999999998]","[0.09999999999999998, 0.049999999999999996, 0.049999999999999996]"
0.25,0.003597541,0.557994792,1.078263541,"[5.1754999999999995, 12.78949999999999, 150.4894999999998]","[0.09999999999999998, 0.049999999999999996, 0.049999999999999996]"
