MIP_Gap,Load_Time,Creation_time,Execution_Time,Cost,Unavailability
0.0,4.286477,30.3364577,8.2454815,"[13.311200000000007, 13.350000000000012, 17.83520000000001, 55.235199999999914]","[0.05, 0.03333333333333333, 0.016666666666666666, 0.016666666666666666]"
0.05,0.0107889,19.5021061,6.650098,"[13.350000000000012, 17.83520000000001, 55.235199999999914]","[0.03333333333333333, 0.016666666666666666, 0.016666666666666666]"
0.1,0.0091012,19.7721289,6.6527403,"[13.350000000000012, 17.83520000000001, 55.235199999999914]","[0.03333333333333333, 0.016666666666666666, 0.016666666666666666]"
0.25,0.0088077,19.275757,6.8090384,"[13.350000000000001, 17.83520000000001, 55.235199999999914]","[0.03333333333333333, 0.016666666666666666, 0.016666666666666666]"
0.5,0.0122605,20.439729,6.3453279,"[17.83520000000001, 55.235199999999914]","[0.016666666666666666, 0.016666666666666666]"
0.75,0.0086281,19.5939009,6.4436289,"[17.83520000000001, 55.235199999999914]","[0.016666666666666666, 0.016666666666666666]"
