MIP_Gap,Load_Time,Creation_time,Execution_Time,Cost,Unavailability
0.0,0.012171209,0.380613792,1.295409834,"[13.311200000000007, 13.350000000000012, 17.83520000000001, 55.235199999999914]","[0.05, 0.03333333333333333, 0.016666666666666666, 0.016666666666666666]"
0.05,0.003700375,0.375659125,1.122436708,"[13.350000000000012, 17.83520000000001, 55.235199999999914]","[0.03333333333333333, 0.016666666666666666, 0.016666666666666666]"
0.1,0.003634292,0.3642505,1.100161041,"[13.350000000000012, 17.83520000000001, 55.235199999999914]","[0.03333333333333333, 0.016666666666666666, 0.016666666666666666]"
0.25,0.0033915,0.514910833,1.153815167,"[13.350000000000001, 17.83520000000001, 55.235199999999914]","[0.03333333333333333, 0.016666666666666666, 0.016666666666666666]"
