MIP_Gap,Load_Time,Creation_time,Execution_Time,Cost,Unavailability
0.0,0.015309583,20.752145834,1010.030085709,"[367.13503978420385, 367.1350398211445, 367.13503994624296, 368.1934399462438, 368.23473994624413, 4850.04, 5072.724560000001]","[0.057799999999992566, 0.05779999999999303, 0.057800000000000025, 0.057800000000000025, 0.057800000000000025, 0.0, 0.0]"
0.05,0.015047917,20.930857417,1010.739496,"[367.13503978420385, 367.1350398211445, 367.13503994624296, 368.1934399462438, 368.23473994624413, 4850.04, 5072.724560000001]","[0.057799999999992566, 0.05779999999999303, 0.057800000000000025, 0.057800000000000025, 0.057800000000000025, 0.0, 0.0]"
0.1,0.015652584,20.961650625,1180.438953,"[4850.04, 5072.724560000001]","[0.0, 0.0]"
0.25,0.048483583,237.4632025,1110.73860475,"[4850.04, 5072.724560000001]","[0.0, 0.0]"
