MIP_Gap,Load_Time,Creation_time,Execution_Time,Latency,Unavailability
0.0,4.9470583,34.9215121,10.6232486,"[2.7066666666666617, 2.7066666666666666]","[0.0, 0.0]"
0.05,0.0144458,25.9628054,8.5862582,"[2.7066666666666617, 2.7066666666666666]","[0.0, 0.0]"
0.1,0.0217313,26.7769305,8.3220705,"[2.7066666666666617, 2.7066666666666666]","[0.0, 0.0]"
0.25,0.0178971,25.0352549,7.2827061,"[2.7066666666666617, 2.7066666666666666]","[0.0, 0.0]"
0.5,0.0087794,21.4754908,7.2666799,"[2.7066666666666617, 2.7066666666666666]","[0.0, 0.0]"
0.75,0.0112114,22.7620564,7.3069962,"[2.7066666666666617, 2.7066666666666666]","[0.0, 0.0]"
