MIP_Gap,Load_Time,Creation_time,Execution_Time,Latency,Cost,Unavailability
0.0,6.0727676,89.0548696,28.3904982,"[3.8699999999999997, 3.8699999999999997, 3.8699999999999997, 3.8699999999999997, 3.8699999999999997, 3.8699999999999997, 28.765, 28.7675, 30.86, 36.62]","[5.290600000000004, 5.336520000000005, 5.439840000000002, 5.439840000000003, 5.462800000000005, 5.462800000000002, 5.462800000000005, 5.462800000000005, 5.462800000000005, 5.461199999999998]","[0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.0625]"
0.05,0.0540191,69.1407601,23.1255722,"[3.8699999999999997, 28.765, 28.7675, 30.86, 36.62, 42.4825, 36.62]","[5.462800000000005, 5.462800000000005, 5.462800000000005, 5.462800000000005, 5.461199999999998, 340.88, 508.3982]","[0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.0625, 0.0, 0.0]"
0.1,0.0475127,68.5142448,22.4141759,"[3.8699999999999997, 28.765, 28.7675, 30.86, 36.62, 42.4825, 36.62]","[5.462800000000005, 5.462800000000005, 5.462800000000005, 5.462800000000005, 5.461199999999998, 340.88, 508.3982]","[0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.0625, 0.0, 0.0]"
0.25,0.0205382,67.263453,23.5108052,"[3.8699999999999997, 28.765, 28.7675, 30.86, 36.62, 42.4825, 36.62]","[5.462800000000005, 5.462800000000005, 5.462800000000005, 5.462800000000005, 5.461199999999998, 340.88, 508.3982]","[0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.0625, 0.0, 0.0]"
0.5,0.0184913,69.2826403,23.3090935,"[3.8699999999999997, 28.765, 28.7675, 30.86, 36.62, 42.4825, 36.62]","[5.462800000000005, 5.462800000000005, 5.462800000000005, 5.462800000000005, 5.461199999999998, 340.88, 508.3982]","[0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.05000000000000001, 0.0625, 0.0, 0.0]"
0.75,0.0157712,67.4274951,22.5142404,"[28.7675, 30.86, 36.62, 42.4825, 36.62]","[5.462800000000005, 5.462800000000005, 5.461199999999998, 340.88, 508.3982]","[0.05000000000000001, 0.05000000000000001, 0.0625, 0.0, 0.0]"
