MIP_Gap,Load_Time,Creation_time,Execution_Time,Latency,Cost,Unavailability
0.0,2.43073025,4.09824475,4.814206667,"[2.445, 2.445, 2.445, 2.445, 192.935]","[0.7701000000000001, 0.7701000000000002, 0.7701, 1.1824999999999999, 85.65999999999995]","[0.15000000000000002, 0.15000000000000002, 0.15000000000000002, 0.075, 0.025]"
0.05,0.004065292,0.165095042,4.275662083,"[2.445, 2.445, 192.935]","[0.7701, 1.1824999999999999, 85.65999999999995]","[0.15000000000000002, 0.075, 0.025]"
0.1,0.003040833,0.306946959,4.051145166,"[2.445, 2.445, 192.935]","[0.7701, 1.1824999999999999, 85.65999999999995]","[0.15000000000000002, 0.075, 0.025]"
0.25,0.003351833,0.29317725,3.683400583,"[2.445, 192.935]","[1.1824999999999999, 85.65999999999995]","[0.075, 0.025]"
0.5,0.003280375,0.294315833,3.619590375,"[2.445, 192.935]","[1.1824999999999999, 85.65999999999995]","[0.075, 0.025]"
0.75,0.003295459,0.288044042,3.655132167,"[2.445, 192.935]","[1.1824999999999999, 85.65999999999995]","[0.075, 0.025]"
