MIP_Gap,Load_Time,Creation_time,Execution_Time,Latency,Cost,Unavailability
0.0,4.7512797,44.7060457,15.4911595,"[2.7066666666666666, 2.7066666666666666, 2.7066666666666666]","[5.1754999999999995, 10.877999999999995, 89.12800000000013]","[0.09999999999999998, 0.06666666666666665, 0.06666666666666665]"
0.05,0.0106704,36.5132748,13.0199542,"[2.7066666666666666, 2.7066666666666666, 2.7066666666666666]","[5.1754999999999995, 10.877999999999995, 89.12800000000013]","[0.09999999999999998, 0.06666666666666665, 0.06666666666666665]"
0.1,0.0134524,31.0888436,7.8689719,"[2.7066666666666666, 2.7066666666666666, 2.7066666666666666]","[5.1754999999999995, 10.877999999999995, 89.12800000000013]","[0.09999999999999998, 0.06666666666666665, 0.06666666666666665]"
0.25,0.015358,22.4813454,8.2129709,"[2.7066666666666666, 2.7066666666666666, 2.7066666666666666]","[5.1754999999999995, 10.877999999999995, 89.12800000000013]","[0.09999999999999998, 0.06666666666666665, 0.06666666666666665]"
0.5,0.011659,21.2835218,8.1289422,"[2.7066666666666666, 2.7066666666666666]","[10.877999999999995, 89.12800000000013]","[0.06666666666666665, 0.06666666666666665]"
0.75,0.0109656,30.5149404,12.4870396,"[2.7066666666666666, 2.7066666666666666]","[10.877999999999995, 89.12800000000013]","[0.06666666666666665, 0.06666666666666665]"
