MIP_Gap,Load_Time,Creation_time,Execution_Time,Latency,Cost,Unavailability
0.0,0.026162917,0.585625791,1.303609834,"[2.7066666666666666, 2.7066666666666666, 2.7066666666666666]","[5.175500000000001, 10.877999999999986, 89.12800000000013]","[0.09999999999999998, 0.06666666666666665, 0.06666666666666665]"
0.05,0.003482625,0.597452625,1.162463125,"[2.7066666666666666, 2.7066666666666666, 2.7066666666666666]","[5.175500000000001, 10.877999999999986, 89.12800000000013]","[0.09999999999999998, 0.06666666666666665, 0.06666666666666665]"
0.1,0.003522375,0.598592708,1.306462959,"[2.7066666666666666, 2.7066666666666666, 2.7066666666666666]","[5.175500000000001, 10.877999999999986, 89.12800000000013]","[0.09999999999999998, 0.06666666666666665, 0.06666666666666665]"
0.25,0.003632083,0.581607958,1.14262625,"[2.7066666666666666, 2.7066666666666666, 2.7066666666666666]","[5.175500000000001, 10.877999999999986, 89.12800000000013]","[0.09999999999999998, 0.06666666666666665, 0.06666666666666665]"
0.5,0.003477917,0.581214084,1.037114375,"[2.7066666666666666, 2.7066666666666666]","[10.877999999999986, 89.12800000000013]","[0.06666666666666665, 0.06666666666666665]"
0.75,0.003563333,0.4540975,1.228130709,"[2.7066666666666666, 2.7066666666666666]","[10.877999999999986, 89.12800000000013]","[0.06666666666666665, 0.06666666666666665]"
