MIP_Gap,Load_Time,Creation_time,Execution_Time,Latency,Cost,Unavailability
0.0,4.22864,955.4172818,1241.3084107,"[4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001]","[698.9674400000013, 704.840140000001, 709.0104400000009, 711.5854400000004, 712.1512400000001, 712.4087399999999, 716.6093400000005, 717.3809400000006, 717.9596400000007, 718.3454400000008]","[0.07599999999999994, 0.07699999999999996, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997]"
0.05,0.2395396,1174.9849871,1295.2192336,"[4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001]","[705.6810395647726, 710.2966396989652, 716.0118396989664, 716.2693397807304, 716.2693400000006, 716.5268400000002, 717.4913400000003, 717.7192400000001, 717.9121400000002, 718.2329400000002]","[0.07599999999999994, 0.07699999999999996, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997]"
0.1,0.1718985,1568.3454216,589.1978007,"[4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001]","[737.4684799999991, 739.454579999999, 741.2077799999989, 741.9092799999992, 743.9603799999987, 745.3277799999986, 751.6800799999986, 752.0658799999985, 752.2161799999983, 752.7629799999984]","[0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997]"
0.25,0.4109918,1564.6591578,555.9961227,"[4.013600000000001, 5.018399999999985]","[753.8649799999984, 5983.3618000000015]","[0.07799999999999997, 0.0]"
0.5,0.4902177,1594.8044313,540.2380282,"[4.013600000000001, 5.018399999999985]","[753.8649799999984, 5983.3618000000015]","[0.07799999999999997, 0.0]"
0.75,0.3379974,3931.4283336,603.9285245,"[4.013600000000001, 5.018399999999985]","[753.8649799999984, 5983.3618000000015]","[0.07799999999999997, 0.0]"
