MIP_Gap,Load_Time,Creation_time,Execution_Time,Latency,Cost,Unavailability
0.0,0.016170875,19.67044625,1010.368156917,"[3.5112000000000005, 3.5112000000000014, 3.5112000000000014, 3.5112000000000014, 3.5112000000000014, 3.5112000000000014, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001]","[693.8134389664971, 693.8134390101883, 694.0063395578503, 694.0063398427147, 697.0181398535933, 697.533139620755, 702.1319396758645, 709.8786396758603, 710.3420397671632, 710.5995400000003]","[0.07599999981251081, 0.0759999999999946, 0.07599999999999994, 0.07599999999999994, 0.0769999999999754, 0.0769999999999754, 0.0769999999999754, 0.07799999999997541, 0.07799999999999997, 0.07799999999999997]"
0.05,0.020802625,20.392617334,570.427559916,"[3.5112000000000005, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001]","[699.9501399627233, 703.6329399157545, 708.6460399157527, 710.0362400000006, 711.3237400000007, 718.2095400000005, 718.4670400000003, 719.0157400000003, 719.5644400000003, 720.8476400000003]","[0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997]"
0.1,0.019833875,19.869078,120.072748,"[4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001, 4.013600000000001]","[737.8617399999983, 738.6981799999982, 740.2431799999995, 744.0444799999983, 745.8779799999995, 746.2310799999996, 759.0606799999988, 766.0807799999997, 775.7414799999993, 776.0945799999986]","[0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07799999999999997, 0.07949999999999997, 0.07949999999999997, 0.07949999999999997, 0.07949999999999997]"
0.25,0.016353667,19.985030208,110.451989458,"[4.013600000000001, 4.013600000000001, 4.013600000000001, 5.018399999999985]","[777.1865799999985, 779.6191799999988, 780.3907799999989, 5983.3618000000015]","[0.07949999999999997, 0.07949999999999997, 0.07949999999999997, 0.0]"
0.5,0.017216875,19.997719333,112.257240625,"[4.013600000000001, 4.013600000000001, 4.013600000000001, 5.018399999999985]","[777.1865799999985, 779.6191799999988, 780.3907799999989, 5983.3618000000015]","[0.07949999999999997, 0.07949999999999997, 0.07949999999999997, 0.0]"
0.75,0.020782167,20.358918375,110.792386958,"[4.013600000000001, 4.013600000000001, 4.013600000000001, 5.018399999999985]","[777.1865799999985, 779.6191799999988, 780.3907799999989, 5983.3618000000015]","[0.07949999999999997, 0.07949999999999997, 0.07949999999999997, 0.0]"
