MIP_Gap,Load_Time,Creation_time,Execution_Time,Latency,Unavailability
0.0,4.7709951,31.6237514,7.1399514,"[4.089999999999991, 4.09]","[0.0, 0.0]"
0.05,0.0091476,20.3483913,5.4071597,"[4.089999999999991, 4.09]","[0.0, 0.0]"
0.1,0.0107228,21.1299071,5.7569721,"[4.089999999999991, 4.09]","[0.0, 0.0]"
0.25,0.0123769,20.6224831,5.6521064,"[4.089999999999991, 4.09]","[0.0, 0.0]"
0.5,0.0087143,20.1703439,5.9215312,"[4.089999999999991, 4.09]","[0.0, 0.0]"
0.75,0.0090574,20.528382,6.0851361,"[4.089999999999991, 4.09]","[0.0, 0.0]"
