MIP_Gap,Load_Time,Creation_time,Execution_Time,Latency,Cost,Unavailability
0.0,4.380734,1026.4239856,1208.4943463,"[3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632]","[388.706739977839, 397.5690399463886, 400.6014399463886, 404.20864000000074, 406.52614000000005, 407.7616400000002, 408.5029400000002, 409.7384400000002, 410.0667600000003, 410.0814600000003]","[0.06020000000000001, 0.06020000000000001, 0.06020000000000001, 0.06020000000000001, 0.05960000000000001, 0.05960000000000001, 0.05960000000000001, 0.05960000000000001, 0.060000000000000005, 0.060000000000000005]"
0.05,0.1097745,1202.1987236,1221.7766708,"[3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632]","[388.706739977839, 397.5690399463886, 400.6014399463886, 404.20864000000074, 406.52614000000005, 407.7616400000002, 408.5029400000002, 409.7384400000002, 410.0667600000003, 410.0814600000003]","[0.06020000000000001, 0.06020000000000001, 0.06020000000000001, 0.06020000000000001, 0.05960000000000001, 0.05960000000000001, 0.05960000000000001, 0.05960000000000001, 0.060000000000000005, 0.060000000000000005]"
0.1,0.1240909,1154.2200822,1304.3069234,"[3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632, 3.3632]","[395.1190399999997, 397.8476399999997, 401.45484000000056, 403.7723400000005, 409.7384400000002, 410.0667600000003, 410.0814600000003, 414.1374600000004, 419.34575999999987, 420.0972599999995]","[0.057800000000000025, 0.057800000000000025, 0.057800000000000025, 0.05960000000000001, 0.05960000000000001, 0.060000000000000005, 0.060000000000000005, 0.05940000000000001, 0.05940000000000001, 0.05940000000000001]"
0.25,0.3012671,1082.8601331,563.3494863,"[3.3632, 3.4146, 3.4791999999999996, 3.4791999999999996, 3.4791999999999996, 3.4791999999999996, 3.4791999999999996, 3.4791999999999996, 3.4791999999999996, 7.532000000000004]","[444.95055999999954, 522.6948600000003, 524.4245600000007, 524.9428600000008, 525.963460000001, 526.113760000001, 527.1437600000008, 530.1760800000014, 530.2628200000014, 4850.04]","[0.05940000000000001, 0.059400000000000015, 0.059566666666666684, 0.059566666666666684, 0.059566666666666684, 0.059566666666666684, 0.059566666666666684, 0.059566666666666684, 0.059566666666666684, 0.0]"
0.5,0.1109154,997.5074154,506.9312545,"[3.4791999999999996, 7.532000000000004, 3.363199999999997]","[530.2628200000015, 4850.04, 5072.724560000001]","[0.059566666666666684, 0.0, 0.0]"
0.75,0.1572225,976.5837894,507.0884061,"[3.4791999999999996, 7.532000000000004, 3.363199999999997]","[530.2628200000015, 4850.04, 5072.724560000001]","[0.059566666666666684, 0.0, 0.0]"
